Precio,VRAM,HDMI,DisplayPort,Energia,GDDR3,GDDR4,GDDR5,GDDR6,GDDR6X,GDDR7
22055,6,2,2,300,False,False,False,True,False,False
9733,4,1,0,300,True,False,False,False,False,False
21602,6,2,2,300,False,False,False,True,False,False
41859,12,1,4,550,False,False,False,True,False,False
29087,8,1,3,550,False,False,False,True,False,False
47686,12,2,2,700,False,False,False,True,False,False
35003,8,1,3,500,False,False,False,True,False,False
36957,16,2,2,600,False,False,False,True,False,False
9451,2,1,0,300,False,True,False,False,False,False
24356,4,1,2,550,False,False,False,True,False,False
23597,8,1,3,650,False,False,False,True,False,False
32704,8,1,3,600,False,False,False,True,False,False
38606,8,2,2,450,False,False,False,True,False,False
23732,8,1,3,115,False,False,False,True,False,False
17236,4,1,1,400,False,False,False,True,False,False
20609,4,1,3,30,False,False,False,True,False,False
54680,16,1,3,165,False,False,False,True,False,False
35198,8,2,2,450,False,False,False,True,False,False
32455,8,1,3,600,False,False,False,True,False,False
9178,2,1,0,300,False,False,True,False,False,False
36811,4,1,0,50,False,False,False,True,False,False
64708,8,1,4,500,False,False,False,True,False,False
33213,12,1,3,650,False,False,False,True,False,False
21190,6,1,1,550,False,False,False,True,False,False
24326,8,1,1,550,False,False,False,True,False,False
33279,8,1,3,550,False,False,False,True,False,False
5288,2,1,0,300,False,False,True,False,False,False
35164,8,1,3,550,False,False,False,True,False,False
7814,2,4,0,300,False,False,True,False,False,False
37851,16,1,3,600,False,False,False,True,False,False
9211,2,1,1,550,False,False,True,False,False,False
55065,16,1,3,750,False,False,False,True,False,False
35651,8,1,3,550,False,False,False,True,False,False
8791,2,1,0,550,False,False,True,False,False,False
7357,2,1,0,550,False,False,True,False,False,False
51112,8,2,3,750,False,False,False,True,False,False
26962,8,1,1,550,False,False,False,True,False,False
40671,8,2,2,550,False,False,False,True,False,False
39623,8,1,3,550,False,False,False,True,False,False
32710,8,1,3,550,False,False,False,True,False,False
47426,12,1,3,750,False,False,False,True,False,False
10690,4,1,2,550,False,False,False,True,False,False
35090,16,2,2,600,False,False,False,True,False,False
45490,8,2,2,500,False,False,False,True,False,False
11291,4,1,2,550,False,False,False,True,False,False
58899,16,2,2,700,False,False,False,True,False,False
32490,8,2,2,450,False,False,False,True,False,False
7590,2,4,0,550,False,False,True,False,False,False
20790,8,1,3,225,False,False,False,True,False,False
28489,8,2,2,550,False,False,False,True,False,False
31990,8,1,3,550,False,False,False,True,False,False
8890,2,1,1,300,False,False,True,False,False,False
22790,8,1,3,225,False,False,False,True,False,False
33989,8,1,3,500,False,False,False,True,False,False
15090,4,1,1,400,False,False,False,True,False,False
8590,2,1,0,550,False,False,True,False,False,False
12790,6,1,3,550,False,False,False,True,False,False
35789,8,1,3,550,False,False,False,True,False,False
125990,4,1,1,400,False,False,False,True,False,False
8590,2,1,0,300,False,True,False,False,False,False
34290,16,1,3,700,False,False,False,True,False,False
32989,8,1,3,115,False,False,False,True,False,False
55290,16,1,3,750,False,False,False,True,False,False
31990,16,1,3,700,False,False,False,True,False,False
19590,6,1,1,70,False,False,False,True,False,False
47591,12,1,3,750,False,False,False,True,False,False
8491,2,1,0,300,False,False,True,False,False,False
31190,12,1,3,550,False,False,False,True,False,False
44989,8,1,3,550,False,False,False,True,False,False
37990,16,1,3,600,False,False,False,True,False,False
33190,16,1,3,225,False,False,False,True,False,False
21190,6,2,1,550,False,False,False,True,False,False
13590,4,1,4,50,False,False,True,False,False,False
21890,8,1,3,225,False,False,False,True,False,False
31589,8,1,3,600,False,False,False,True,False,False
21290,6,1,1,550,False,False,False,True,False,False
22589,8,1,3,225,False,False,False,True,False,False
75989,16,1,0,750,False,False,False,True,False,False
20190,6,2,2,300,False,False,False,True,False,False
78989,16,1,3,700,False,False,False,True,False,False
23391,8,1,1,500,False,False,False,True,False,False
31390,8,1,3,600,False,False,False,True,False,False
19990,6,1,2,550,False,False,False,True,False,False
33790,8,1,3,550,False,False,False,True,False,False
28090,8,1,3,550,False,False,False,True,False,False
39900,8,1,3,550,False,False,False,True,False,False
46489,12,1,3,750,False,False,False,True,False,False
33090,8,2,2,450,False,False,False,True,False,False
43890,12,1,3,750,False,False,False,True,False,False
45590,8,1,1,550,False,False,False,True,False,False
34290,12,1,3,650,False,False,False,True,False,False
33690,8,2,2,450,False,False,False,True,False,False
35590,8,2,2,450,False,False,False,True,False,False
125990,8,2,2,450,False,False,False,True,False,False
125990,8,1,3,500,False,False,False,True,False,False
33090,8,1,3,550,False,False,False,True,False,False
29790,12,2,2,550,False,False,False,True,False,False
47891,8,1,3,450,False,False,False,True,False,False
32790,8,1,0,500,False,False,False,True,False,False
23190,8,1,3,450,False,False,False,True,False,False
34290,8,1,3,500,False,False,False,True,False,False
36990,8,1,3,115,False,False,False,True,False,False
20790,6,2,2,300,False,False,False,True,False,False
36890,8,2,2,450,False,False,False,True,False,False
26789,8,1,1,550,False,False,False,True,False,False
19489,6,1,1,450,False,False,False,True,False,False
169900,16,1,3,550,False,False,False,False,False,True
39790,8,2,2,550,False,False,False,True,False,False
43689,8,1,3,160,False,False,False,True,False,False
